colocating with libquantum
gmm
2368744738	2485090264	0.953183	4.227947
0.005091	2368034806	4887487763	0.985697	4.464192
0.005598	2368712705	7365978018	0.955708	4.344127
0.005368	2368565404	9895679063	0.936302	4.480102
0.005449	2368519611	12362884872	0.960001	4.300561
0.005279	2369935096	14974335635	0.907517	4.331639
0.005284	2367939146	17173920147	1.076539	9.354984
0.005007	2366018095	18916402912	1.357843	20.255424
0.004391	2367217770	20578659354	1.424099	19.477230
0.004535	2368076353	22205931117	1.455243	19.005856
0.004244	2368064660	23910481250	1.389261	19.860851
0.004134	2367324546	25584534793	1.414127	19.645935
0.004614	2366133442	27666883874	1.360994	20.140549
0.004060	2368523045	29334475882	1.420325	19.619968
0.004652	2369744844	31079463777	1.358029	20.267935
0.004373	2370231395	32732921970	1.433499	19.381132
0.004489	2368472106	34465034957	1.367389	20.089560
0.004412	2368879600	36141705615	1.412847	19.741049
0.004704	2369373188	37883235997	1.360512	20.205425
0.004392	2369401653	39514068604	1.452878	19.140009
0.004248	2367209639	41197271990	1.406372	19.703800
0.004512	2367551545	42893738322	1.395578	19.705809
0.004407	2369168366	44593333698	1.393960	19.835667
0.004301	2368921273	46272258844	1.410975	19.704008
0.004752	2369799390	47999381480	1.372108	20.050976
0.004327	2370115676	49684204734	1.406744	19.714472
0.004608	2366503602	51436391863	1.350600	20.331257
0.004362	2367403388	53113167577	1.411878	19.751640
0.004725	2367685480	54829693974	1.379347	19.878847
0.004135	2367654909	56451851331	1.459572	19.092419
0.004550	2362489226	58178475399	1.368271	20.084740
0.004444	2367655336	59836482423	1.428013	19.384552
0.004185	2366902393	61523219896	1.403243	19.803129
0.004638	2369228480	63260097623	1.364073	20.242268
0.004528	2370941370	64887560331	1.456833	18.998928
0.004334	2369718783	66636751873	1.354751	20.431841
0.004464	2369337159	68364852228	1.371065	20.079027
0.004512	2370331497	70027799051	1.425380	19.441284
0.004137	2369641117	71722194611	1.398517	19.803221
0.004521	2367555952	73400182535	1.410949	19.538263
0.004247	2370435155	75081863717	1.409563	19.653543
0.004179	2370427857	76723769021	1.443706	19.243881
0.004407	2369539108	78446106172	1.375770	19.946712
0.004187	2369768209	80163320891	1.380007	20.153948
0.004581	2370359078	81867507631	1.390903	19.747347
0.004217	2373847393	83558935202	1.403458	19.864420
0.004621	2369833397	85291298936	1.367977	20.112764
0.004369	2369671064	86969095985	1.412371	19.687677
0.004735	2369495612	88680584773	1.384465	19.855436
0.004211	2366045510	90301178434	1.459987	18.972015
0.004387	2368094842	91960216224	1.427390	19.558332
0.004629	2367304668	93652562002	1.398830	19.655891
0.004382	2366921513	95320131718	1.419384	19.576077
0.004659	2366559762	97057186562	1.362398	20.129824
0.004370	2367738563	98726773473	1.418158	19.607824
0.004571	2368411150	100450128148	1.374303	20.002735
0.004329	2369043063	102147635804	1.395601	19.940731
0.004728	2369801842	103890556145	1.359673	20.214275
0.004358	2369704042	105577607116	1.404643	19.767796
0.004608	2369327277	107319287361	1.360369	20.283884
0.004557	2371489020	108922654795	1.479068	18.875080
0.004373	2370189590	110610465942	1.404298	19.611523
0.004429	2369171382	112344579120	1.366215	20.358875
0.004714	2367964226	114042634938	1.394515	19.676634
0.004131	2368062174	115726239826	1.406543	19.804512
0.004583	2366593584	117433307726	1.386350	19.802536
0.004418	2368267546	119133757411	1.392730	19.973087
0.004536	2367955907	120843804785	1.384731	19.875340
0.004369	2368942060	122527484560	1.407003	19.752296
0.004548	2369417524	124258782904	1.368578	20.098787
0.004497	2371782543	125833221528	1.506431	18.606100
0.004193	2369765894	127514226231	1.409732	19.694569
0.004660	2368701541	129223429862	1.385851	19.966425
0.004542	2369511202	130884001302	1.426925	19.453224
0.004626	2369772649	132605531886	1.376550	20.132376
0.004462	2369495965	134236721839	1.452618	19.142435
0.004246	2369607072	135933565979	1.396479	19.765694
0.004442	2369546447	137638367774	1.389925	19.987753
0.004309	2368716522	139312890038	1.414563	19.508812
0.004572	2368605801	141023741518	1.384460	19.972763
0.004212	2371401727	142616116111	1.489223	18.777378
0.004203	2366935241	144283876156	1.419230	19.571129
0.004486	2368264511	145983551576	1.393363	19.790310
0.004392	2369726036	147675075358	1.400941	19.939297
0.004502	2370338542	149310578099	1.449303	19.069679
0.004125	2368085290	151020452544	1.384947	20.028900
0.004335	2366414171	152670438046	1.434203	19.389076
0.004615	2367812552	154373364228	1.390438	19.847321
0.004347	2368039073	156025175100	1.433602	19.413143
0.004504	2367204690	157761799767	1.363107	20.183714
0.004362	2369091834	159376887639	1.466850	19.003780
0.004168	2370440394	161010693883	1.450870	19.232784
0.004612	2369997113	162705948651	1.398018	19.711788
0.004159	2369815837	164384244969	1.412037	19.693316
0.004303	2370114140	166034515358	1.436197	19.350636
0.004444	2370598412	167792620407	1.348383	20.436634
