colocating with mcf
gmm
2379235757	3124989754	0.761358	8.945060
0.007083	2380394221	6243474202	0.763318	8.739926
0.007165	2379623668	9362670917	0.762896	9.148222
0.007457	2017788484	12595408652	0.624173	8.692366
0.008335	1565574712	15254034740	0.588866	8.360177
0.008431	1605299881	18234934787	0.538529	12.771223
0.008405	2232156682	21034108295	0.797434	34.363884
0.007363	2322940602	23873251463	0.818184	34.635571
0.006629	2378028011	26680310983	0.847160	34.562702
0.006770	2377315308	29523939116	0.836015	34.785046
0.006760	2378037009	32328997722	0.847767	34.334850
0.006360	2379275023	35195320290	0.830079	35.275673
0.006741	2379067769	38616519932	0.822495	35.218086
0.006326	2377575707	41492377110	0.827294	35.349060
0.006695	2378380463	44350488171	0.832151	34.943104
0.006493	2378337714	47253928406	0.819145	35.430233
0.006328	2377906032	50096001829	0.836680	35.008976
0.006814	2377981347	52981487366	0.824118	35.213856
0.006514	2379553896	55845645379	0.830804	35.181343
0.006629	2379367241	58705337631	0.832036	34.945293
0.006726	2164116832	61414898502	0.798697	33.366486
0.006418	2362804193	64261014822	0.830185	34.901615
0.006530	2371764735	67094252840	0.837122	34.883163
0.006893	2376649213	69950625878	0.832051	34.804440
0.006507	2377508587	72783502379	0.839256	34.865627
0.006918	2375836060	75612781185	0.839732	34.630001
0.006636	2376230090	78469165274	0.831901	34.767231
0.006652	2376524095	81295213256	0.840935	34.735100
0.006888	2377936491	84053289710	0.862172	33.838490
0.007071	2148356941	86992382505	0.731678	35.304657
0.005679	2345242461	89699712250	0.866257	33.258301
0.006952	2364048758	92421866726	0.868448	33.285618
0.007132	2370478019	95102994876	0.884135	32.869740
0.007253	2372848402	97788881121	0.883451	32.668392
0.006906	2373249686	100416821064	0.903867	32.051861
0.007162	2372382660	103054946972	0.899268	32.111008
0.006897	2372782489	105681961163	0.903224	32.112564
0.006987	2127120750	108337148633	0.801686	32.332619
0.006879	2343091621	110996141918	0.881195	32.309460
0.006716	2359467143	113597345877	0.907067	31.746548
0.006748	2368208761	116014750818	0.979649	29.500664
0.006361	2371978693	118593783263	0.919717	31.601732
0.006631	2371824307	121167687743	0.921489	31.605705
0.007243	2372000733	123778471303	0.908540	31.675911
0.006750	2372290721	126391294534	0.907942	31.915483
0.006727	2371801931	129076364708	0.883330	32.716137
0.006949	2375075303	131830099119	0.862493	33.651855
0.006913	2374581581	134572849019	0.865767	33.776699
0.007146	2374826220	137373954707	0.847817	34.241623
0.007146	2274357280	140087429069	0.839177	33.391037
0.006956	2375492380	142800066922	0.875713	32.973511
0.006715	2374285605	145139315198	1.014978	28.861118
0.006524	2375423645	147984219304	0.834975	34.712200
0.006747	2376173027	150803114987	0.842945	34.722923
0.007086	2375602790	153613022337	0.845438	34.305218
0.007118	2195073835	156420895194	0.783047	34.431660
0.007134	2377407560	159301628443	0.826490	35.141174
0.006752	2377594552	162186293032	0.825487	35.504482
0.007012	2377402168	165113483904	0.812179	35.632416
0.006557	2379672287	167986068424	0.828408	35.323296
0.006841	2378159815	170904916739	0.814760	35.608555
0.006696	2377501550	173547780825	0.899593	32.839485
0.006410	2378526488	176464010320	0.815617	35.491665
0.006637	2378914420	179348237621	0.824801	35.503464
0.006917	2378829143	182264626002	0.815676	35.577808
0.006703	2378787075	185179748281	0.816016	35.718536
0.006654	2379291189	188079134390	0.820619	35.509632
0.006841	2379199195	190752128140	0.890088	33.079731
0.006263	2378930134	193631097061	0.826313	35.187416
0.006802	2378884570	196555185357	0.813547	35.725555
0.006586	2378830137	199429135460	0.827721	35.381386
0.007004	2378971214	202357597533	0.812362	35.601948
0.006546	2376678564	205239891388	0.824579	35.433018
0.006889	2422809761	208210542030	0.815582	36.209675
0.006728	2379042161	211073666793	0.830925	35.251957
0.006933	2376896966	213953479042	0.825365	35.139320
0.006711	2376467967	216870609174	0.814660	35.703999
0.006636	2379037759	219731698076	0.831515	35.118267
0.006914	2377946970	222396076591	0.892496	32.958412
0.006320	2379176098	225269875708	0.827885	35.117062
0.006848	2378665108	228188396276	0.815024	35.721123
0.006609	2378860778	231061869191	0.827870	35.318817
0.007014	2378621515	233987503311	0.813028	35.638214
0.006550	2379491807	236827953225	0.837717	34.976685
0.006868	2379006397	239691148645	0.830892	34.969288
0.006816	2378945466	242589968094	0.820660	35.461739
0.006513	2378680841	245433150649	0.836626	34.964771
0.006848	2379187552	248055183567	0.907383	32.279903
0.006217	2379563747	250899328723	0.836653	35.035213
0.006877	2379181078	253758391883	0.832154	34.903362
0.006705	2378819511	256614791868	0.832803	35.025318
0.006706	2378972148	259447401952	0.839852	34.767670
0.006898	2376114649	262359059005	0.816070	35.502037
0.006622	2377425039	265223657447	0.829933	35.194042
0.007024	2376614504	268102453118	0.825559	35.145504
0.006730	2376253963	271003419631	0.819125	35.512104
0.006705	2376754092	273583756655	0.921102	31.926483
0.006469	2376662792	276471133969	0.823122	35.482121
0.006796	2376288758	279336515512	0.829310	35.089565
0.006833	2376465261	282258875825	0.813201	35.585468
0.006561	2376246180	285142029573	0.824183	35.437920
0.006920	2376064323	288026079226	0.823864	35.204281
0.006713	2376979821	290670707614	0.898795	32.758980
0.006553	2376354144	293572289552	0.818986	35.482529
0.006550	2376067305	296448616117	0.826077	35.406895
