colocating with milc
gmm
2381142914	3159754203	0.753585	8.755790
0.010888	2381225663	6321464147	0.753145	8.687051
0.011033	2381309182	9438395668	0.763991	8.732340
0.010682	2382181630	12732987987	0.723058	8.624055
0.011015	2380881493	16005097652	0.727629	8.765942
0.011007	2380724711	19147385975	0.757640	20.447342
0.009342	2379353352	21937331104	0.852832	33.768894
0.007023	2378830438	24625687059	0.884864	32.675957
0.006890	2377877685	27406353428	0.855147	33.719528
0.007216	2379369935	30147560025	0.868001	33.268673
0.007116	2380808999	32940642396	0.852395	33.791962
0.006803	2380754515	35724388506	0.855234	33.721104
0.006937	2375896402	39095235913	0.850546	34.024303
0.007304	2382330419	41893513845	0.851356	33.909687
0.007106	2380091885	44674184332	0.855942	33.651447
0.006794	2379989117	47457729558	0.855021	33.853760
0.007227	2380262283	50261044049	0.849089	33.943272
0.006975	2380072727	53026134420	0.860758	33.514282
0.007022	2380173645	55780632579	0.864104	33.354919
0.006538	2380098635	58554854454	0.857934	33.720650
0.007114	2380802918	61259987863	0.880106	32.680103
0.007149	2380758955	63946383597	0.886228	32.495808
0.006884	2377738343	66711819471	0.859806	33.651688
0.007353	2378152730	69469900098	0.862249	33.403923
0.007029	2378610907	72243203877	0.859240	33.553116
0.007265	2378748668	75015786775	0.859541	33.412136
0.006848	2378536695	77781768547	0.859925	33.523903
0.007093	2377365642	80389644147	0.911610	31.939295
0.007098	2378421466	83149277097	0.861862	33.315239
0.006825	2378242549	85901117010	0.864237	33.264011
0.007069	2378200147	88614371679	0.876512	33.026806
0.007256	2379059211	91383978101	0.858988	33.499535
0.007039	2378350761	94136315217	0.864120	33.351566
0.007104	2378885230	96920042377	0.854568	33.789574
0.007136	2378531270	99695154443	0.857094	33.688278
0.007267	2378620869	102481689512	0.853612	33.779572
0.007021	2379538306	105241214687	0.862300	33.436386
0.007256	2380906392	107917361422	0.889677	32.483917
0.006866	2380656744	110681471604	0.861274	33.487652
0.007137	2380427542	113425538404	0.867482	33.280598
0.007241	2380804699	116162737462	0.869796	33.193752
0.007194	2378428322	118909898125	0.865777	33.397804
0.007164	2378486021	121628787505	0.874801	32.974358
0.007148	2380758412	124383786639	0.864159	33.328968
0.006877	2380746962	127153405343	0.859594	33.456848
0.006882	2378357629	129911379052	0.862357	33.548023
0.007274	2377886998	132654030656	0.867003	33.384830
0.007363	2380710973	135329461497	0.889842	32.446026
0.006818	2380500366	138068544065	0.869087	33.184845
0.007156	2380694956	140813217738	0.867387	33.276623
0.007191	2380459888	143535053835	0.874579	33.061005
0.007155	2379013240	146287338614	0.864378	33.313923
0.006945	2377855304	149000570657	0.876392	32.721500
0.007057	2377965454	151722111561	0.873757	33.087605
0.007336	2378016159	154455958618	0.869842	33.162453
0.007075	2380652503	157135367367	0.888499	32.493492
0.006993	2382169629	159902842163	0.860774	33.619576
0.007265	2379549905	162536529306	0.903505	31.943489
0.006733	2377933037	165275196430	0.868281	33.211521
0.007238	2380357052	167997278752	0.874462	33.057903
0.007063	2380478443	170762572111	0.860841	33.492977
0.007173	2381789083	173538747656	0.857939	33.631981
0.007101	2380647835	176279775972	0.868524	33.207069
0.007098	2380601905	179035148990	0.863985	33.282345
0.007032	2380439992	181800999337	0.860654	33.434792
0.007057	2380375468	184557161880	0.863656	33.343430
0.007113	2381107179	187273916204	0.876453	32.956455
0.007250	2380806598	189944661068	0.891439	32.527382
0.006945	2379540478	192730689948	0.854098	33.863445
0.007233	2380097201	195615572231	0.825024	34.906105
0.006912	2380358163	198475584832	0.832289	34.865898
0.007124	2379184463	201311349538	0.839917	34.371868
0.007117	2379551294	204166970813	0.833861	34.843079
0.007144	2379751756	207059324543	0.823244	34.796494
0.005528	2380495515	209852021837	0.852400	33.903049
0.006876	2382887818	212737864652	0.825716	34.946671
0.006812	2382950482	215587417537	0.836254	34.746601
0.006889	2382928106	218444800027	0.833955	34.626503
0.007140	2382894468	221339977266	0.823057	35.087280
0.006748	2382672429	224178644552	0.839363	34.546112
0.006944	2382927738	227033962533	0.834558	34.719704
0.007289	2379969436	229902390959	0.829712	34.815819
0.006879	2380523320	232677533358	0.857802	33.787979
0.006778	2380384745	235512820971	0.839557	34.656235
0.007157	2380025243	238385698038	0.828447	34.786217
0.006875	2380225240	241274314127	0.824002	35.062645
0.006694	2380083779	244120222529	0.836318	34.719799
0.007228	2380196590	247017084394	0.821647	35.004169
0.006721	2377930181	249888542823	0.828126	34.960583
0.006982	2380094255	252728920704	0.837950	34.533245
0.007161	2380609994	255614937846	0.824877	34.915989
0.006789	2379975235	258465596693	0.834886	34.769402
0.007070	2382593020	261244822757	0.857287	33.859169
0.006943	2380325375	264077253845	0.840382	34.368820
0.007000	2382739002	266943004874	0.831454	34.907871
0.007106	2381363655	269780563927	0.839230	34.503880
0.007217	2380427059	272689056314	0.818440	35.225929
0.006688	2380385151	275526948397	0.838786	34.660160
0.007317	2380402174	278407124135	0.826478	34.803932
0.007086	2380000812	281281999571	0.827862	34.897278
0.006852	2382917424	284129468858	0.836854	34.740833
0.007121	2382066210	287010295415	0.826869	34.871956
0.006811	2379946664	289889972648	0.826463	35.012367
0.006872	2380152117	292624059571	0.870547	33.389923
0.006937	2382398221	295453357004	0.842046	34.430744
0.007304	2381009924	298319904050	0.830620	34.725044
0.006692	2380185626	301155806492	0.839304	34.626556
0.007297	2380361027	303993282681	0.838901	34.396137
0.006986	2380332973	306855446162	0.831655	34.863552
0.007045	2380605361	309691176293	0.839504	34.434940
0.007282	2382638402	312571787503	0.827129	34.946152
0.006963	2382885047	315400209195	0.842479	34.495396
0.007187	2382525296	318263782708	0.832011	34.666931
0.007042	2380159697	321002602484	0.869046	33.372856
0.006931	2379947410	323791938632	0.853231	33.954735
0.006874	2379406920	326606187686	0.845486	34.116573
0.006980	2381883657	329433292985	0.842517	34.447178
0.007042	2379756616	332239529848	0.849018	34.073250
0.006982	2381974403	335081379182	0.838178	34.385464
0.006916	2382274928	337797841178	0.876977	33.043579
0.006880	2382350538	340591261180	0.852844	33.916168
0.006874	2382111702	343398197897	0.848652	34.302235
0.007297	2382289303	346054692613	0.896779	32.391109
0.006795	2382197902	348895919160	0.838440	34.394154
0.007015	2381882441	351711483605	0.845970	34.149834
0.006847	2382250644	354502405337	0.853571	34.075047
0.007128	2382083914	357323717223	0.844318	34.268574
0.007140	2382386528	360125043139	0.850450	33.911819
0.006847	2379413077	362966005603	0.837538	34.514294
0.006897	2379717782	365745918763	0.856040	33.852840
0.007093	2381774752	368558744368	0.846755	34.224285
0.007199	2381870071	371398361433	0.838800	34.367210
0.006862	2381750375	374232802561	0.840289	34.419044
0.006921	2382006235	377029827676	0.851621	34.192577
0.007333	2379949328	379751471457	0.874453	33.197475
0.006710	2379729296	382570334547	0.844216	34.209602
0.007244	2379676629	385414201465	0.836775	34.447056
0.006869	2379682368	388200330783	0.854118	34.039658
0.007290	2379518920	391036429874	0.839011	34.350086
0.007146	2379569886	393730509516	0.883259	32.938133
0.006980	2379545055	396568177260	0.838557	34.403091
0.006944	2379260400	399384609213	0.844778	34.181641
0.007017	2381710471	402189234936	0.849208	34.115837
0.006966	2379342538	404985902423	0.850778	34.009575
0.007430	2382031237	407646773012	0.895208	32.507439
0.006659	2381805994	410457514846	0.847394	34.124603
0.007337	2382027704	413232141256	0.858504	33.701370
