colocating with libquantum
gmm
852187725	3548936767	0.240125	8.814014
0.007730	2367354800	6757665992	0.737786	7.951562
0.008303	2377679887	10087265506	0.714104	7.937724
0.008275	2350416918	13353325366	0.719649	7.906593
0.008287	2372348757	16488594130	0.756665	7.345766
0.007639	2374920633	19253680229	0.858896	23.067764
0.007259	2275856639	21832387537	0.882557	31.481949
0.007006	2372119583	24407232682	0.921267	31.429253
0.007039	2373021046	27016511950	0.909455	31.836700
0.006869	2372011629	29634109572	0.906179	31.968933
0.006982	2371961853	32221294321	0.916812	31.593609
0.007009	2371730280	34819700214	0.912764	31.672228
0.006937	2371884226	37951082171	0.914056	31.671379
0.006945	2371971446	40537398244	0.917124	31.613556
0.007076	2371909090	43121273960	0.917966	31.610504
0.007121	2373961007	45720585817	0.913304	31.656796
0.006885	2374786760	48241194233	0.942148	30.742443
0.007204	2377350207	50765492462	0.941787	30.698278
0.006820	2376815718	53214450365	0.970542	29.941675
0.007161	2376172569	55563959042	1.011349	28.821495
0.006464	2338144019	58184407630	0.893921	32.009384
0.007086	2372265083	60834790684	0.895846	31.915224
0.005753	2311669765	63538651453	0.855669	32.418011
0.005713	2372730148	66135501357	0.915545	31.688608
0.007009	2371507548	68722500469	0.918515	31.444981
0.006951	2371925044	71322036545	0.914265	31.627464
0.006962	2374265919	73877837449	0.928971	31.161844
0.006985	2374479634	76462228535	0.918777	31.506989
0.006731	2372088107	79026465152	0.925066	31.332788
0.006978	2371557448	81620709987	0.914161	31.653463
0.006848	2373125234	84224682618	0.911348	31.785448
0.006910	2374666383	86838990428	0.908335	31.885675
0.006984	2374890479	89458736702	0.906535	31.949615
0.007004	2374554029	92054034053	0.914945	31.780249
0.007002	2370806401	94664499756	0.908193	31.802139
0.006899	2371846965	97244158388	0.919442	31.455564
0.006949	2371993416	99822662271	0.919911	31.553144
0.006995	2374714050	102409208804	0.918102	31.571323
0.006956	2325877759	104621557444	1.051316	27.364065
0.006431	2365619591	107185950673	0.922487	31.291151
0.006892	2373212142	109756399580	0.923268	31.220200
0.006662	2372378107	112286703344	0.937586	30.832260
0.006954	2371946392	114833968640	0.931174	31.152725
0.006816	2371603871	117406856903	0.921767	31.435423
0.007141	2375388574	119993012302	0.918502	31.504152
0.006764	2371820473	122579185898	0.917116	31.364931
0.006728	2371376463	125154424032	0.920838	31.361010
0.006910	2371717618	127700904516	0.931371	31.116240
0.007088	2371594147	130247824943	0.931161	31.142916
0.006875	2375630386	132488934650	1.060024	27.776552
0.006573	2374614765	135042179200	0.930038	31.100813
0.006928	2374148953	137571293445	0.938727	30.778540
0.006794	2374132984	140079588114	0.946513	30.537457
0.006935	2374331519	142625434263	0.932630	31.122488
0.006849	2372349277	145193110599	0.923928	31.402414
0.006971	2371214115	147735874766	0.932534	30.866301
0.006696	2371449944	150213336249	0.957210	30.247761
0.006975	2373728960	152754237079	0.934208	30.818584
0.006542	2373711283	155302202454	0.931611	31.029499
0.006933	2370868685	157740587535	0.972311	29.818825
0.007122	2373590066	160242301324	0.948786	30.532309
0.006893	2374207423	162749961466	0.946782	30.355225
0.006559	2373678443	165218191136	0.961693	30.040607
0.006614	2371328684	167755024740	0.934759	30.837624
0.006911	2375440001	170013292422	1.051886	27.859859
0.006398	2374289248	172509399734	0.951197	30.513668
0.006697	2371359101	174994874072	0.954087	30.142956
0.006525	2374085572	177540183563	0.932730	31.071011
0.006998	2373787428	180021474640	0.956674	30.309584
0.006731	2374650614	182530390054	0.946485	30.387209
0.006611	2371658168	184956689664	0.977480	29.617382
0.006520	2371458294	187432113850	0.958001	30.103041
0.006854	2371521334	189913143356	0.955862	30.294420
0.006651	2371393819	192451029639	0.934397	30.792183
0.006711	2372941610	194998693456	0.931419	31.084072
0.006875	2371711614	197556813440	0.927131	31.200876
0.006929	2372188030	200091954929	0.935722	30.977634
0.006683	2374514631	202660231448	0.924556	31.153578
0.006552	2374547616	205204075475	0.933449	30.947561
0.006671	2374721773	207378289214	1.092221	26.944220
0.006355	2371515665	209893348356	0.942926	30.503460
0.006526	2370907210	212336473994	0.970440	29.847006
0.006870	2372106008	214873155390	0.935122	30.780678
0.006616	2372571192	217410218039	0.935165	30.946463
0.006794	2319039283	220084090483	0.868173	32.277443
0.005860	2373087898	222760653452	0.886802	32.129505
0.005869	2376061092	225309834817	0.932088	31.164185
0.007000	2375891672	227871631752	0.927432	31.219877
0.006620	2376229569	230446639928	0.922805	31.265060
0.006753	2376973759	233040188910	0.916495	31.621338
0.007024	2373714078	235615720248	0.921641	31.359968
0.006978	2373436914	238161854085	0.932173	31.087337
0.006969	2372890295	240777031141	0.907354	31.920729
0.006966	2372320342	243095518706	1.023219	28.597176
0.006433	2372208014	245580408884	0.954653	30.387144
0.007038	2371548599	248153927075	0.921520	31.411133
0.006851	2371341322	250684274139	0.937160	30.691751
0.006679	2334136174	253261205412	0.905781	31.381668
0.006871	2370788522	255872815415	0.907788	31.947636
0.007058	2375758977	258482181418	0.910474	31.936962
0.007280	2372499249	261093584087	0.908515	31.870611
0.007156	2372667565	263733455537	0.898781	32.072186
0.006787	2373024473	266352427312	0.906090	31.909904
