colocating with libquantum
tonto
2384907522	5029155125	0.474216	30.291742
0.006547	2386793323	9920296169	0.487983	35.050468
0.008287	2386540230	14687097051	0.500659	34.262642
0.007711	2387299529	19570155972	0.488894	37.323845
0.009547	2387305456	24118272547	0.524900	30.743444
0.007061	2386765502	29138563043	0.475424	41.981995
0.008754	2386914449	34372488390	0.456047	49.547485
0.012661	2385944092	38686104284	0.553119	23.686504
0.006221	2386999576	43200278723	0.528779	27.557705
0.006658	2387534200	47999899582	0.497442	38.768890
0.007893	2388000328	53084293093	0.469673	43.358040
0.009076	2387541443	58394264425	0.449634	51.362724
0.012419	2392061694	64126746166	0.500742	38.144863
0.009975	2393209196	68484162945	0.549227	23.363924
0.006108	2393500513	72942209064	0.536895	20.685520
0.005349	2394609588	77502340001	0.525119	37.549217
0.008937	2393493675	82223627638	0.506958	37.094841
0.007010	2393697186	87260666479	0.475219	42.930687
0.009298	2360784276	92320308895	0.466591	43.739494
0.009113	2393409190	97625403706	0.451153	50.657230
0.012462	2392777626	102973229304	0.447430	54.188316
0.013698	2393384808	108068505808	0.469726	48.219009
0.011462	2393554491	112775046801	0.508559	33.275711
0.008439	2391492892	117840004240	0.472164	44.141911
0.009325	2394212329	122673665264	0.495321	37.824833
0.009673	2393699528	127169049810	0.532479	24.800014
0.006317	2393305499	131825383345	0.513989	39.593224
0.008803	2393282337	136753327811	0.485655	41.920368
0.008076	2391614038	141909258816	0.463857	47.221722
0.009770	2393080262	147237575923	0.449125	53.986683
0.013826	2393275703	151871797250	0.516435	34.548485
0.008841	2393903292	156482546997	0.519200	25.520187
0.006575	2393293576	160858063911	0.546974	29.468594
0.007406	2393106485	165382982700	0.528873	22.319313
0.005207	2393265961	169797394293	0.542148	39.526630
0.009204	2393080419	174560664939	0.502403	43.192638
0.009275	2393181940	179290238473	0.506004	37.603184
0.006493	2393097074	184416170627	0.466861	46.615383
0.009571	2392865513	189482027949	0.472352	47.156952
0.009752	2392434933	194631088997	0.464635	48.495975
0.010263	2392308154	199962997993	0.448678	54.329319
0.013980	2390686112	205279814543	0.449646	53.900192
0.013348	2392479680	210396929132	0.467545	42.745560
0.011614	2392829194	214788529139	0.544865	28.632553
0.007172	2392724452	219360610762	0.523334	29.262472
0.007240	2393692501	223872626799	0.530515	25.332180
0.006419	2392761536	228190020819	0.554214	23.974796
0.006483	2392910833	232799037801	0.519180	30.055244
0.007380	2392986627	237375125303	0.522933	24.664677
0.005605	2393168900	241721412999	0.550624	24.400528
0.004410	2369733642	247091156108	0.510215	46.488575
0.011095	2391715140	251913318796	0.495984	48.008297
0.011544	2393238547	256586648152	0.512106	39.726955
0.007448	2390510182	261336094003	0.503324	37.052319
0.006052	2392030784	266212413877	0.490540	40.863583
0.007477	2392996218	271326352855	0.467936	48.228161
0.009998	2392148686	276509176812	0.461553	46.901981
0.009332	2391977214	281583128952	0.471423	47.853077
0.009880	2380009404	286724157498	0.462944	47.248604
0.009374	2392106709	291910782216	0.461207	49.894180
0.010810	2392096654	297273496859	0.446061	54.136631
0.013432	2391928982	302653096353	0.444630	55.117561
0.014396	2391884127	307971875261	0.449705	55.206757
0.014449	2392119659	313304595790	0.448574	55.999844
0.014047	2391207390	318433841394	0.569232	44.151157
0.020344	2391750677	321610937899	0.752810	56.582111
0.052430	2392484217	325449560247	0.623266	73.688484
0.074929	2392986839	328709336207	0.734096	61.243469
0.063522	2391920308	332756647959	0.680837	55.015312
0.050151	2392377611	337075635041	0.553921	110.498451
0.127538	2393420439	339884682347	0.852040	37.880959
0.033647	2391762418	344257065619	0.621135	66.240791
0.066196	2391925246	348796769297	0.526890	121.777428
0.141239	2392973427	351580748713	0.859551	35.248909
0.029915	2393288346	354991122587	0.701767	50.790512
0.047775	2392644256	359394801883	0.543328	99.430862
0.111926	2392703269	362896838505	0.683232	73.206482
0.079682	2390502253	365780484440	0.828986	38.156410
0.034027	2391982902	369461087165	0.649889	58.938343
0.057748	2391814238	373802630831	0.550913	96.603470
0.109367	2391507103	377765127729	0.603535	92.601128
0.103577	2389993461	380875304892	0.768443	65.843231
0.062621	2391339903	383572008398	0.886764	37.372814
0.031142	2391709445	386846908624	0.730315	73.138451
0.071262	2391612586	389925016292	0.776975	68.878853
0.063160	2392718024	392548957571	0.911879	34.495590
0.029794	2391880535	395523777065	0.804042	49.965870
0.041595	2391462110	398901178392	0.708078	82.312080
0.081082	2391258358	402325269397	0.698363	92.544571
0.089435	2392385244	404882013302	0.935716	33.579185
0.028620	2393898128	407468587771	0.925509	35.083488
0.029806	2393156372	410338594145	0.833851	43.555374
0.034828	2393148937	413500025036	0.756983	63.645866
0.059712	2392490882	417090819410	0.666285	99.234367
0.101705	2392548921	420267747292	0.753101	79.748421
0.074252	2393248645	422790021411	0.948846	30.754517
0.025203	2391322019	425350042547	0.934102	33.510380
0.027680	2392180386	427984164424	0.908151	34.995209
0.027301	2391879244	431031312682	0.784957	55.089432
0.048349	2391794195	434345148377	0.721760	76.673424
0.077009	2389061762	437998640202	0.653912	103.942360
0.104333	2393206192	440846389639	0.840385	55.799400
0.050545	2393161822	443370343971	0.948179	30.865564
0.025019	2393020480	445930337434	0.934776	32.883320
0.027251	2393048840	448530203164	0.920451	32.174706
0.024866	2391828664	451457578928	0.817056	50.447899
0.043450	2392033304	454514486025	0.782501	55.769825
0.049825	2391795123	457952373695	0.695717	85.614334
0.086730	2391475461	461576810006	0.659820	101.430618
0.103657	2390347083	466056025163	0.533653	92.722855
0.067432	2393228898	470855669899	0.498626	32.637005
0.008435	2392214611	475675233312	0.496355	39.258022
0.008285	2392424738	480864121144	0.461067	45.934925
0.012066	2391588075	486180848134	0.530960	24.689199
0.006792	2391666984	491628924981	0.514277	40.424309
0.009330	2391527997	497511128279	0.475964	43.585754
0.008526	2392418249	502756043945	0.456140	49.480064
0.011406	2392517690	508113087057	0.446612	54.241776
0.014627	2391958249	513453672321	0.540529	28.452909
0.007291	2392173717	517842191334	0.545098	22.360901
0.006155	2392358886	522432917950	0.521129	29.499649
0.007537	2392463886	526791740830	0.548878	25.094484
0.005145	2391029393	532366121702	0.512271	46.327591
0.011443	2392286736	537074616376	0.508079	36.544903
0.006125	2391839433	542062423927	0.479537	43.967808
0.008529	2393190290	547204580468	0.465406	47.120895
0.009165	2393349643	552366130522	0.463688	47.095158
0.009113	2392154230	557661998475	0.451702	52.689335
0.013596	2393286345	563039207251	0.445080	55.486954
0.015217	2393194561	568385013621	0.447677	54.101112
0.014548	2392024792	572975252822	0.521111	27.470764
0.007384	2392202967	577359749362	0.545605	25.100666
0.006871	2392361878	582038517105	0.511323	28.038511
0.007294	2392476713	586576986848	0.527155	29.784412
0.007574	2393373866	590878774255	0.556367	22.902618
0.006049	2391639930	595600889804	0.506476	26.800535
0.007202	2392333129	600041826298	0.538700	23.926081
0.004233	2392279258	604411071563	0.547527	39.674873
0.009144	2392274171	609230484792	0.496383	47.789059
0.011607	2392444131	613931848925	0.508883	44.900749
0.010276	2392415878	618678632642	0.504008	36.974194
0.006029	2392549510	623488585128	0.497416	37.394794
0.006070	2391728302	628547732600	0.472753	46.901573
0.009241	2392090888	633711741840	0.463224	46.889008
0.009241	2392042411	638820793477	0.468197	47.520218
0.009371	2393393846	643978261391	0.464064	47.289387
0.009176	2393370840	649176091184	0.460456	47.602825
0.009184	2393025904	654487095321	0.450579	54.456966
0.014766	2393269730	659798214474	0.450615	54.054729
0.014473	2393412461	665111429286	0.450464	54.254028
0.014684	2390889166	670452936100	0.447606	54.551647
0.014418	2391564126	675819560835	0.445637	55.238441
0.015081	2391234415	679532825741	0.643971	59.095028
0.056454	2392029025	682511056421	0.803171	39.702431
0.034724	2391415917	686610409385	0.583364	94.753235
0.108919	2392085466	689402530435	0.856727	35.548973
0.031745	2391076373	693750708333	0.619920	71.355095
0.074225	2391094754	697751059742	0.597721	97.117310
0.112355	2392868883	700508632848	0.867745	36.572594
0.033349	2391106459	704927756855	0.615628	68.678780
0.070008	2390185535	709931117410	0.573532	105.047035
0.123039	2391828429	712782657307	0.838785	38.848907
0.035215	2391771125	716278424484	0.684191	51.503517
0.048214	2390832164	720705143834	0.540091	104.977425
0.124808	2391083442	724030081222	0.719136	64.167633
0.069636	2391929950	726875067207	0.840753	38.729282
0.035141	2391873591	730288270504	0.700771	49.528198
0.047568	2391507360	734542001268	0.562214	89.094093
0.103051	2392046905	738964653384	0.540863	113.641434
0.134076	2392580860	742000655097	0.788070	62.315605
0.057259	2392980165	744574591572	0.929697	31.792892
0.025009	2392532034	747757294162	0.751730	64.802795
0.060881	2392845408	751086240299	0.718800	85.400223
0.084879	2393046787	753728852067	0.905561	35.526711
0.029680	2391915960	756540290946	0.850780	41.966656
0.032268	2391713740	759784541899	0.737216	70.941010
0.070913	2391404935	763481254462	0.646900	111.316223
0.111224	2391717313	766060669512	0.927232	34.740696
0.028722	2391981191	768619099661	0.934941	33.937412
0.027681	2391904994	771902132376	0.840636	42.962856
0.032507	2392632484	775049173194	0.760280	62.406315
0.057794	2391569590	778597981036	0.673908	95.067703
0.102153	2390988183	781874089860	0.729826	86.779488
0.079881	2392073889	784384634340	0.952811	31.297939
0.025442	2391529435	786898237909	0.951435	31.495691
0.024141	2391931912	789474552418	0.928432	32.116627
0.023859	2390817038	792527544248	0.783106	56.539085
0.050027	2391616035	795801800491	0.730430	73.698494
0.075270	2391216441	799455012821	0.654552	102.458397
0.104413	2390837822	802411011143	0.808809	63.864868
0.058021	2391543819	804927173120	0.950473	31.113628
0.024744	2391846123	807415011767	0.961415	30.984362
0.024611	2391951126	810038943367	0.911590	33.510349
0.026055	2391135451	812886167479	0.839813	46.652107
0.039122	2391805503	815971847660	0.775131	57.774345
0.052883	2391714334	819368444988	0.704150	82.236282
0.085528	2391338822	822960183499	0.665789	100.148262
0.102772	2392156827	827350295238	0.544897	98.312950
0.077927	2392924124	832151381220	0.498413	33.779404
0.008539	2392576108	836909937725	0.502794	37.227013
0.008094	2392541701	842105026250	0.460539	46.893196
0.012120	2391810702	847374145734	0.535944	27.401491
0.007375	2391916756	852859346538	0.516002	38.907948
0.008949	2391821495	858684706785	0.480883	42.595791
0.008180	2393268572	863903532494	0.458584	47.913750
0.010207	2392818475	869229303954	0.449291	54.502476
0.015417	2391184831	874626608209	0.544795	25.373882
0.006857	2392794642	879153957552	0.528520	26.980618
0.007276	2393170179	883586243903	0.539940	26.641653
0.006863	2393112214	888003964509	0.541707	23.645952
0.004978	2393210658	892660833616	0.513910	46.356754
0.011386	2393224655	897378526573	0.507287	39.382774
0.007710	2393246836	902256410830	0.490632	40.738464
0.007458	2392167012	907391094401	0.465884	46.843555
0.009204	2391258887	912520422736	0.466193	46.705021
0.009159	2392055041	917807706173	0.452417	51.156673
0.012460	2392297744	923109624563	0.451214	53.728577
0.014103	2392100608	928448885134	0.448021	55.414600
0.015557	2392441425	933348009643	0.488341	35.682018
0.009608	2392813229	937695289156	0.550416	28.928164
0.007420	2392061680	942338956246	0.515123	27.554173
0.006992	2392550572	946944367827	0.519509	21.194639
0.006007	2393052879	951241348818	0.556915	29.450319
0.007539	2392973448	955851849192	0.519027	29.678802
0.007540	2393130358	960366134618	0.530124	19.921364
0.004082	2393124482	964818832971	0.537455	33.697613
0.007421	2392101474	969425604625	0.519258	46.366268
0.011177	2393609434	974191561210	0.502231	48.167095
0.011634	2391862967	978906078098	0.507340	36.875580
0.006102	2393055818	983662363061	0.503136	36.925755
0.005989	2393040499	988629130202	0.481810	43.344578
0.008129	2393173261	993816572455	0.461340	47.253189
0.009300	2393887493	998907538235	0.470223	46.798431
0.009165	2393127040	1004086892918	0.462051	47.558601
0.009254	2392980230	1009218858085	0.466289	48.364399
0.009494	2392653969	1014428306719	0.459291	49.926693
0.011715	2393095834	1019780842549	0.447096	54.914520
0.015630	2393169994	1025143599013	0.446257	55.639835
0.015111	2393134514	1030439364213	0.451896	54.385773
0.014657	2393347634	1035761607437	0.449688	54.922611
0.014977	2393038527	1039956563868	0.570456	46.492897
0.025744	2392310748	1043063536373	0.769981	51.962791
0.052801	2392034019	1047099193313	0.592725	83.147964
0.090608	2391760198	1050162004269	0.780904	52.131714
0.052687	2391030698	1054081124808	0.689959	54.009106
0.049460	2390961812	1058579075941	0.531567	117.258324
0.140021	2391757655	1061271459556	0.888342	33.223537
0.028700	2390983075	1065254208603	0.686025	53.301285
0.051015	2391043721	1069664446302	0.542158	105.206169
0.121973	2390446164	1072979968210	0.720986	64.375641
0.068851	2392005042	1075994814769	0.793409	36.831528
0.033079	2391471964	1080009621240	0.595663	77.901855
0.084700	2391008653	1084302394436	0.556985	109.570839
0.128235	2391730167	1087033810630	0.875637	33.520584
0.029580	2391803414	1090049291369	0.793175	34.425568
0.029635	2392976728	1093973923732	0.609733	72.542030
0.073892	2391991360	1098511147756	0.527193	115.186722
0.137943	2392207932	1101954720742	0.694688	69.394234
0.072081	2392818421	1104952748083	0.798131	61.406052
0.059229	2392882514	1107804231522	0.839171	44.229904
0.036132	2392831970	1111321776821	0.680256	91.819008
0.094665	2392675529	1114051966679	0.876377	45.677841
0.038954	2393010764	1116669984686	0.914054	33.284149
0.026132	2392798399	1119768296505	0.772291	57.252048
0.050578	2392461598	1123322038348	0.673223	95.567123
0.101554	2392630017	1126408518295	0.775197	73.334846
0.067345	2392921302	1128999381336	0.923600	34.807411
0.029005	2392991811	1131564013967	0.933074	32.795029
0.025446	2392862291	1134560442669	0.798571	50.796047
0.042237	2391989211	1137815776389	0.734791	71.232376
0.071822	2391232787	1141470350073	0.654312	106.640640
0.107868	2391433766	1144288647667	0.848538	56.513672
0.050776	2391813242	1146876740792	0.924160	35.120472
0.029064	2392761330	1149417191466	0.941865	31.615072
0.025154	2392144186	1152114278912	0.886936	38.629787
0.028998	2392637010	1155209606860	0.772983	57.488682
0.051993	2392319669	1158675790402	0.690188	88.553345
0.092092	2392081860	1162344682017	0.651990	108.487091
0.110069	2392740241	1164830453141	0.962575	30.813768
0.024400	2393657074	1167453483773	0.912554	35.430485
0.029217	2391998813	1169988348101	0.943640	31.733095
0.024763	2391961309	1172563783829	0.928760	30.957813
0.023437	2391022181	1176167649761	0.774542	57.120689
0.049965	2391792889	1179325497615	0.757412	64.263878
0.061480	2391307948	1182863789637	0.675837	95.307220
0.101765	2391192362	1186610309367	0.638244	112.702789
0.112389	2391368917	1191610653811	0.478241	55.502419
0.018763	2391429850	1197087577351	0.518542	31.637651
0.007332	2385591996	1202331451979	0.454929	49.198421
0.011565	2386612343	1207014832872	0.509592	30.334557
0.008144	2391301165	1212296297066	0.530533	30.077885
0.007243	2390684553	1217950171103	0.500419	39.673321
0.007809	2392974184	1223091142855	0.465471	45.995544
0.009218	2392191149	1228367925016	0.453343	52.252522
0.013739	2393203866	1233477602656	0.468367	45.391079
0.012214	2391822872	1237877835973	0.543567	25.531576
0.006760	2393183537	1242297294448	0.541511	26.444292
0.007127	2393076127	1246866252081	0.523769	24.690382
0.006380	2393177159	1251230567170	0.548351	32.556522
0.007152	2392799102	1255963991586	0.505511	45.771664
0.010914	2392538579	1260721051929	0.502945	36.803452
0.006168	2392981131	1265739580714	0.476829	44.195816
0.008660	2393110290	1270827238546	0.470376	46.784840
0.009522	2393201546	1276003963082	0.462300	47.103806
0.009357	2393217792	1281311233882	0.450932	53.417408
0.014041	2393039745	1286650990988	0.448155	55.224602
