colocating with libquantum
perlbench
2389340963	656114598	3.641652	8.374464
0.002114	2359846359	1333493599	3.483790	9.105017
0.002123	2348480783	1893021956	4.197250	7.484422
0.001758	2387946320	2426163581	4.479009	6.051350
0.001506	2389039606	3285273988	2.780830	5.077202
0.002039	2358784956	4103094114	2.884235	4.848249
0.002187	2383290239	4455208351	6.768514	2.457657
0.001111	2386730306	5537372651	2.205515	6.871469
0.003278	2386543629	7207863931	1.428648	22.747812
0.005332	2353884187	9117997210	1.232314	28.056162
0.006306	2388670423	10899527464	1.340797	25.643940
0.006128	2387319248	12704211501	1.322846	27.557270
0.005760	2384763881	14587865404	1.518674	22.911163
0.005607	2384962930	16577163864	1.424737	23.580360
0.005620	2348171985	18107008450	1.537339	22.681953
0.005174	2382445428	19813863815	1.395810	25.185781
0.005610	2384099828	21438630112	1.467349	24.051031
0.005201	2385617824	22691921469	1.906713	16.728472
0.005024	2382471965	24592395683	1.253638	27.183777
0.006540	2387419517	26602423184	1.189375	28.981668
0.006570	2391469982	28494577049	1.265753	25.679523
0.006287	2390357226	30427999778	1.240605	26.971333
0.005998	2387828692	30999056247	4.214037	7.591275
0.002926	2389577050	32618659868	1.475409	22.778898
0.005691	2351547633	34322906193	1.379817	24.524639
0.005895	2389347903	35985780956	1.436878	22.568060
0.006083	2389463756	37924481401	1.232508	28.098881
0.006330	2389954189	39848538052	1.242143	25.286837
0.006767	2389749819	41595146073	1.368223	26.093380
0.005829	2385118609	43051185541	1.641371	20.414934
0.005387	2389827776	44533276497	1.614830	21.155304
0.005011	2362810298	46231728555	1.393002	25.867750
0.005091	2390348424	47782474259	1.543966	19.925388
0.005257	2386456275	49311432366	1.563273	23.433708
0.005113	2387652598	50800532029	1.603420	22.072632
0.005071	2383390321	52163151971	1.752603	20.312243
0.004900	2344499672	53607736010	1.622958	17.418814
0.005364	2385681763	55002965163	1.709885	19.366297
0.004926	2384940577	56655618853	1.443098	20.400604
0.005632	2385955025	58124118814	1.624757	18.504826
0.005661	2385126115	59542815775	1.681209	21.102167
0.004879	2385658860	61003999615	1.632689	21.414131
0.005259	2386904683	62464924363	1.633831	20.599855
0.005141	2385640468	63924486727	1.634490	20.801407
0.005112	2345613612	65421846428	1.566500	21.666285
0.005293	2387381762	67041354943	1.474140	22.383360
0.005211	2351939910	68577407631	1.531158	21.262280
0.005395	2384781846	69863759910	1.853910	16.837255
0.005178	2387011270	71329719286	1.628293	21.466221
0.004942	2386982368	72818197606	1.603639	21.092869
0.005052	2385835098	74379981876	1.527634	18.742970
0.005000	2345700677	75763088400	1.695965	19.446621
0.004887	2385652882	77287692479	1.564769	21.629652
0.005131	2385246176	78845635328	1.531023	23.185196
0.005309	2385745215	80252653300	1.695604	18.343540
0.005229	2359259777	81682899772	1.649548	19.708227
0.005028	2370070594	83086285131	1.688824	19.429844
0.004934	2386924417	84736982361	1.446010	24.884239
0.005232	2387101541	86148673864	1.690951	19.353741
0.005155	2385003719	87563585693	1.685620	19.328516
0.005155	2386684672	88869248894	1.827948	16.918427
0.004992	2387197132	90427363543	1.532106	23.425987
0.005169	2386119935	91891305473	1.629928	20.864653
0.005217	2386826911	93278908073	1.720109	19.525557
0.004984	2386949661	94626681885	1.771031	18.765268
0.005158	2350649628	96304889666	1.400690	25.107548
0.004922	2380202879	97705641001	1.699233	19.760500
0.004781	2385701495	99135619167	1.668348	20.860483
0.004603	2383239082	100714170249	1.511452	21.394884
0.005171	2386396570	102207251575	1.598303	21.765491
0.005087	2344045519	103608373011	1.672978	19.057339
0.005268	2385986755	105229801071	1.471534	23.518196
0.005336	2385021793	106614568626	1.722326	18.288675
0.005287	2384665255	108000223183	1.720967	17.601152
0.005132	2350063067	109539505735	1.526726	20.880615
0.005275	2386217703	110927550871	1.719121	20.288036
0.005092	2384476764	112438377503	1.578260	21.306795
0.005299	2385016285	113875306853	1.659801	20.362003
0.005072	2384045524	115242343612	1.743951	18.864325
0.005158	2384436958	116745730777	1.586043	19.936787
0.005474	2383585861	118042022737	1.838772	16.954132
0.005001	2387269279	119614307733	1.518344	23.988611
0.005091	2340954227	121001579265	1.687452	19.967527
0.005057	2384225898	122420095726	1.680788	19.900627
0.005218	2385602858	123844528544	1.674774	21.258623
0.005063	2383293343	125181167247	1.783050	17.220224
0.005124	2385061696	126620852901	1.656654	21.080030
0.005103	2345030620	127998491949	1.702210	18.655041
0.005178	2384096371	129439174872	1.654838	20.031130
0.005110	2390561173	130883373164	1.655286	20.094543
0.005079	2386308274	132244325695	1.753410	18.654917
0.005202	2386558338	133739958294	1.595685	23.133286
0.005132	2348965592	135255924277	1.549484	22.262541
0.005145	2385643219	136673151625	1.683317	20.668003
0.005152	2384715498	138185963446	1.576347	21.456461
0.005289	2385722577	139789716710	1.487587	21.778204
0.005096	2386392633	141314611482	1.564956	21.028776
0.005209	2358144892	142874064102	1.512162	18.826401
0.005067	2367629001	144118099172	1.903185	16.806618
0.005059	2343285904	145567957134	1.616218	21.162315
0.005002	2385877088	147062206754	1.596706	20.823053
0.005269	2384941168	148423082806	1.752504	18.475368
0.005065	2386592743	149847585725	1.675386	20.316317
0.004934	2385608495	151313617191	1.627256	21.764839
0.005243	2389085196	152628713961	1.816661	17.271685
0.005045	2386614726	153979790562	1.766454	19.514688
0.004745	2384540387	155312772940	1.788876	17.015305
0.004930	2384634208	156776946462	1.628655	21.198647
0.004935	2386331209	158099058461	1.804939	18.485519
0.004804	2383030455	159586788093	1.601790	21.004885
0.005385	2384998902	161129588041	1.545890	21.777384
0.004964	2386403485	162397713620	1.881835	16.605276
0.005025	2384901129	164056667811	1.439308	25.478563
0.005114	2387431781	165671982532	1.477998	22.253508
0.004882	2387424148	166901419148	1.941885	17.069008
0.004570	2388080174	168364618076	1.632095	22.375402
0.004897	2387432299	169872529869	1.583270	22.099072
0.004944	2384345621	171408251879	1.553375	21.095520
0.005176	2387204652	172941050453	1.557416	22.065409
